id,screenName,text,created,isRetweet,retweetCount,type
868564588748517400,Alcira,"@panamacrioffsho TE CAMBIO A MACRI POR EL DE VENEZUELA,TODO  TERRITORIO ARGENTINO SE LLAMARIA MAR D PLATA Y LOS RIOS MAR DEL ORO ACEPTAS?",2017-05-27T20:28:29Z,FALSE,0,change
868564515394379800,Alcira,"@panamacrioffsho TE CAMBIO A MACRI POR EL DE VENEZUELA,TODO  TERRITORIO ARGENTINO SE LLAMARIA MAR D PLATA Y LOS RIOS MAR DEL ORO ACEPTAS?",2017-05-27T20:28:12Z,FALSE,0,change
868564468795674600,Alcira,"TE CAMBIO A MACRI POR EL DE VENEZUELA,TODO  TERRITORIO ARGENTINO SE LLAMARIA MAR D PLATA Y LOS RIOS MAR DEL ORO ACE… https://t.co/NVCHX9lD9U",2017-05-27T20:28:01Z,FALSE,0,change
868564339585843200,Alcira,"@nachoferro @panamacrioffsho TE CAMBIO A MACRI POR EL D VENEZUELA,TODO  TERRITORIO ARGENTINO SE LLAMARIA MAR D PLAT… https://t.co/HY6jVleMfQ",2017-05-27T20:27:30Z,FALSE,0,change
868564191317307400,Alcira,"@nachoferro @panamacrioffsho TE CAMBIO A MACRI POR EL DE VENEZUELA,TODO  TERRITORIO ARGENTINO SE LLAMARIA MAR D PLA… https://t.co/NiadPcIdhW",2017-05-27T20:26:55Z,FALSE,0,change
868564149047046100,Alcira,"@panamacrioffsho TE CAMBIO A MACRI POR EL DE VENEZUELA,TODO  TERRITORIO ARGENTINO SE LLAMARIA MAR D PLATA Y LOS RIOS MAR DEL ORO ACEPTAS?",2017-05-27T20:26:44Z,FALSE,0,change
868564106705608700,Alcira,"TE CAMBIO A MACRI POR EL DE VENEZUELA,TODO  TERRITORIO ARGENTINO SE LLAMARIA MAR D PLATA Y LOS RIOS MAR DEL ORO ACE… https://t.co/pcrmkkbynW",2017-05-27T20:26:34Z,FALSE,0,change
868564040175452200,Alcira,"TE CAMBIO A MACRI POR EL DE VENEZUELA,TODO  TERRITORIO ARGENTINO SE LLAMARIA MAR D PLATA Y LOS RIOS MAR DEL ORO ACE… https://t.co/gxd7UiMcda",2017-05-27T20:26:18Z,FALSE,0,change
868563913067069400,Alcira,"@panamacrioffsho    TE CAMBIO A MACRI POR EL DE VENEZUELA,TODO  TERRITORIO ARGENTINO SE LLAMARIA MAR D PLATA Y LOS RIOS MAR DEL ORO ACEPTAS?",2017-05-27T20:25:48Z,FALSE,0,change
868563477207625700,Jacogori,"Hola. Si es el apellido, ""los Bolívar"". En cambio, si se refiere a la moneda de Venezuela, son ""los bolívares"" (o e… https://t.co/FUBtC5onmD",2017-05-27T20:24:04Z,FALSE,1,change
868561963177082900,FarMire,Las palabras de los impíos son para asechar la sangre; mas la boca de los rectos los librará. #Venezuela #Cambio #venezuelalibre,2017-05-27T20:18:03Z,FALSE,0,change
868559942135013400,BolivarMoneyVe,#Ahora Tasa de cambio por dolar: ($=4639.37) #Venezuela 27-05-2017 04:10 pm,2017-05-27T20:10:01Z,FALSE,0,change
868559632100450300,FarMire,"Los pensamientos de los justos son rectitud; mas las astucias de los impíos, engaño. Pr 12:5 #Venezuela #Cambio #venezuelalibre",2017-05-27T20:08:48Z,FALSE,1,change
868555970980532200,jimenez_elsi,Los Rankings Universitarios: Venezuela sigue en caída https://t.co/fnxxh7E6yz vía @Cambio_UCV,2017-05-27T19:54:15Z,FALSE,0,change
868555366866591700,CapitanOlvido,@MargaritaRepo @CeDemocratico ¿Y cuando Uribe dejó libre sin nada a cambio a Rodrigo Granda? (Y después de infiltra… https://t.co/8UqTglZMud,2017-05-27T19:51:51Z,FALSE,0,change
868555225208148e3,NDtitulares,"Capriles, a 10 años del cierre de RCTV: ¿Qué cambió o mejoró en Venezuela? ¡Nada! - https://t.co/W2GK4kW40A https://t.co/3n1psBlINV",2017-05-27T19:51:17Z,FALSE,4,change
868553659826786300,Jorgebarrosod,Seguimos en resistencia dejando el pellejo en las calles de Venezuela en busca de un cambio de gobierno - https://t.co/s6F4DHakCv,2017-05-27T19:45:04Z,FALSE,4,change
868552544175497200,CCemirame,@decidamosvzla @madeleintlSUR Telesur le sale el tiro por la culata que si Venezuela hubiera comida los niños no pr… https://t.co/75HcSX1RqA,2017-05-27T19:40:38Z,FALSE,0,change
868551910567153700,CarlosRamosGob,"10 años del cierre de RCTV, 10 años de censura, mostramos que Venezuela no se cansa, quiere cambio, quiere ser libre https://t.co/eWT4LgMLgM",2017-05-27T19:38:07Z,FALSE,3,change
868551622925963300,yannettSS,S.O.S. VENEZUELA quere un cambio... Libertad. Libertad. Libertad. https://t.co/DG7USkJfSP,2017-05-27T19:36:58Z,FALSE,0,change
868549956516425700,decidamosvzla,".@madeleintlSUR si en Venezuela hubiera comida, los niños no la mendigaran a cambio de protestar.… https://t.co/uEX2sSbDgl",2017-05-27T19:30:21Z,FALSE,0,change
868549079340593200,GRenzoCN,"Venezuela������������cambió el cuento ahora son los opresores Chavistas​ los q huyen,la resistencia les perdió el miedo, https://t.co/FPDg8OgXmk",2017-05-27T19:26:52Z,FALSE,0,change
868548783814180900,85angelguillen,"Solamente podemos esperar que salga una persona y haga un cambio en nuestra venezuela querida, pero aun no sale el indicado #nuevavenezuela",2017-05-27T19:25:41Z,FALSE,0,change
868547806973354e3,decidamosvzla,".@madeleintlSUR si en Venezuela hubiera comida, los niños no la mendigaran a cambio de protestar… https://t.co/YORkaHqBvk",2017-05-27T19:21:48Z,FALSE,5,change
868547315388342300,Keitor_,"Quisiera ser vidente,para ""saber"" lo que pasará en Venezuela y decirles ""se viene el cambio,no será hoy,ni este año,no sé nada,pero bueh.""",2017-05-27T19:19:51Z,FALSE,0,change
868547155597963300,octavioxx,@leonmars1 @victorinoP21 @LaHojillaenTV aja y dime tu en q parte d Venezuela de bien? esto esta arrecho.. hay q bus… https://t.co/gzbrtWVMKA,2017-05-27T19:19:13Z,FALSE,0,change
868546529904271400,cartasegipcias,No tengan miedo. Dios está sobre Venezuela. El cambio se está manifestando.,2017-05-27T19:16:44Z,FALSE,102,change
868543425297231900,merlinvidal,@ResistenciaV58 AVANCE 0 EN MATERIA DE MORAL Y LOGROS EN MATERIA DE SHOW SI VAMOS MUY BIEN ADELANTADOS VAMOS VENEZU… https://t.co/QUnQifEEvl,2017-05-27T19:04:24Z,FALSE,0,change
868542890024239100,melchordavila,#20May Grande Venezuela todos Queremos lo Mismo un Cambio para Mejor https://t.co/bQTVEM7ycf,2017-05-27T19:02:16Z,FALSE,0,change
868542109397246e3,MachinMachin,"Juntos vamos a lograr el cambio que Venezuela necesita. No vamos a desmayar, no vamos a permitir que nos roben el s… https://t.co/BI5kHphFxW",2017-05-27T18:59:10Z,FALSE,7,change
868540118411481100,NDtitulares,"Capriles, a 10 años del cierre de RCTV: ¿Qué cambió o mejoró en Venezuela? ¡Nada! - https://t.co/W2GK4kW40A https://t.co/8Zz5rbnpbM",2017-05-27T18:51:15Z,FALSE,6,change
868539519917862900,6cleo,"@Cazatalentos Ni d Portugal, ni d los ayuntamientos dl cambio, ni d las propuestas d podemos rechazadas pp-psoe-c,s… https://t.co/ZkvNooqOXv",2017-05-27T18:48:52Z,FALSE,2,change
868538564077903900,avicla,Cambio Membresia de Club por Telefono https://t.co/zGEcwpiYF6 #Clasificados #Venezuela,2017-05-27T18:45:04Z,FALSE,0,change
868538228428742700,danielacaizale1,mi venezuela libre vamos si podemos somos millones los que queremos un cambio https://t.co/LmsJOINig7 vía @YouTube,2017-05-27T18:43:44Z,FALSE,0,change
